,School Number,Cluster,County,School
1407,2958,2,LUZERNE,NORTHWEST AREA HS
1380,7950,2,SCHUYLKILL,NORTH SCHUYKILL ELEM SCHOOL
257,3594,2,PERRY,CARROLL EL SCH
52,18,2,ADAMS,ARENDTSVILLE EL SCH
1664,6928,2,ALLEGHENY,RIVERVIEW HS
1408,2955,2,LUZERNE,NORTHWEST AREA INTERMEDIATE SCH
1658,2781,2,LEHIGH,RITTER EL SCH
1677,4079,2,TIOGA,ROCK L BUTLER MS
260,7023,2,PHILADELPHIA,CARVER HS ENGINEERING & SCIENCE
1667,4952,2,LACKAWANNA,ROBERT MORRIS NO 27
1396,6859,2,CAMBRIA,NORTHERN CAMBRIA EL SCH
1409,2956,2,LUZERNE,NORTHWEST AREA PRIMARY SCHOOL
1395,747,2,BEDFORD,NORTHERN BEDFORD CO M/S HS
261,3173,2,MERCER,CASE AVENUE EL SCH
1393,4578,2,YORK,NORTHEASTERN MS
1816,1013,2,BUCKS,SNYDER-GIROTTI EL SCH
38,1925,2,DELAWARE,AMOSLAND EL SCH
1675,7333,2,BEAVER,ROCHESTER AREA EL SCH
1387,5258,2,NORTHAMPTON,NORTHAMPTON AREA MIDDLE SCHOOL
2162,5241,2,LEHIGH,WHITEHALL-COPLAY MS
48,6570,2,ARMSTRONG,APOLLO-RIDGE MS
251,3021,2,LYCOMING,CARL G RENN EL SCH
43,8178,2,LEBANON,ANNVILLE CLEONA MS
248,988,2,BRADFORD,CANTON JSHS
2165,7885,2,ALLEGHENY,WHITTIER EL SCH
252,1076,2,BUCKS,CARL SANDBURG MS
240,1629,2,CRAWFORD,CAMBRIDGE SPRINGS HS
254,326,2,ALLEGHENY,CARMALT ACADEMY OF SCI & TECH
1384,7259,2,SOMERSET,NORTH STAR EAST EL/M
1736,7281,2,MCKEAN,SCHOOL STREET EL SCH
1401,6346,2,YORK,NORTHERN MS
1659,5093,2,LACKAWANNA,RIVERSIDE EAST EL SCH
1665,6245,2,CLINTON,ROBB EL SCH
1402,6931,2,POTTER,NORTHERN POTTER CHIL
1390,964,2,BRADFORD,NORTHEAST BRADFORD J
1663,6748,2,LACKAWANNA,RIVERSIDE WEST EL SCH
2224,8131,2,YORK,YORK ACADEMY REGIONAL CHARTER
239,1630,2,CRAWFORD,CAMBRIDGE SPRINGS EL
40,7024,2,PHILADELPHIA,AMY NW
1382,1781,2,DAUPHIN,NORTH SIDE EL SCH
238,1199,2,CAMBRIA,CAMBRIA HEIGHTS MS
1405,5143,2,DELAWARE,NORTHLEY MS
