,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic,School Name,Assaults on Staff,Assaults on Students,Conduct OSS,county,enrollment
0,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,75.0,Berks,532.0
1,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth and Penn EL School,0.0,0.0,29.0,Berks,532.0
2,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,53.0,Berks,538.0
3,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,97.0,Berks,559.0
4,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,51.0,Berks,555.0
5,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,56.0,Berks,576.0
6,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth and Penn EL School,0.0,0.0,32.0,Berks,582.0
7,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth and Penn EL School,0.0,0.0,47.0,Berks,518.0
8,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth and Penn EL School,0.0,0.0,25.0,Berks,599.0
9,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,49.0,Berks,560.0
10,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,55.0,Berks,566.0
11,7484,10TH & PENN EL,2.47,16.47,29.83,51.24,Tenth & Penn El Sch,0.0,0.0,55.0,Berks,552.0
12,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,1.0,Chester,754.0
13,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,0.0,Chester,405.0
14,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,2.0,Chester,846.0
15,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,3.0,Chester,594.0
16,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,0.0,Chester,507.0
17,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,1.0,Chester,467.0
18,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,0.0,Chester,512.0
19,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,6.0,Chester,746.0
20,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,4.0,Chester,686.0
21,7691,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95,21st Century Cyber CS,0.0,0.0,5.0,Chester,964.0
22,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,25.0,Fayette,219.0
23,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen School,0.0,0.0,1.0,Fayette,240.0
24,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,7.0,Fayette,202.0
25,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,15.0,Fayette,197.0
26,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,0.0,Fayette,201.0
27,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,25.0,Fayette,216.0
28,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen School,0.0,0.0,24.0,Fayette,207.0
29,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen School,0.0,0.0,0.0,Fayette,215.0
30,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen School,0.0,0.0,0.0,Fayette,197.0
31,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,0.0,Fayette,225.0
32,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,0.0,Fayette,209.0
33,6933,A J MCMULLEN SCH,11.2,35.59,31.09,22.13,A J McMullen Sch,0.0,0.0,11.0,Fayette,190.0
34,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,0.0,Fayette,249.0
35,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson EL School,0.0,0.0,1.0,Fayette,184.0
36,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,1.0,Fayette,244.0
37,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,0.0,Fayette,227.0
38,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,0.0,Fayette,268.0
39,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,0.0,Fayette,226.0
40,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson EL School,0.0,0.0,0.0,Fayette,182.0
41,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson EL School,0.0,0.0,2.0,Fayette,177.0
42,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson EL School,0.0,0.0,0.0,Fayette,280.0
43,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,0.0,Fayette,257.0
44,2115,A L WILSON EL SCH,13.78,40.46,27.15,18.6,A L Wilson El Sch,0.0,0.0,0.0,Fayette,251.0
45,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,18.0,Lackawanna,1047.0
46,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,22.0,Lackawanna,1152.0
47,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,21.0,Lackawanna,1041.0
48,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,15.0,Lackawanna,1046.0
49,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,0.0,Lackawanna,1062.0
50,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,22.0,Lackawanna,1039.0
51,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,1.0,Lackawanna,1158.0
52,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,16.0,Lackawanna,1149.0
53,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,0.0,Lackawanna,1073.0
54,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,23.0,Lackawanna,1056.0
55,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,0.0,Lackawanna,1044.0
56,6839,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44,Abington Heights MS,0.0,0.0,7.0,Lackawanna,1079.0
57,3242,ABINGTON JHS,27.44,38.17,24.23,10.16,Abington JHS,0.0,0.0,153.0,Montgomery,1731.0
