,County,School,% Advanced,% Proficient,% Basic,% Below Basic
0,BERKS,10TH & PENN EL,2.47,16.47,29.83,51.24
1,CHESTER,21ST CENTURY CYBER CS,12.93,31.85,32.32,22.95
2,FAYETTE,A J MCMULLEN SCH,11.2,35.59,31.09,22.13
3,FAYETTE,A L WILSON EL SCH,13.78,40.46,27.15,18.6
4,LACKAWANNA,ABINGTON HEIGHTS MS,26.91,40.04,22.66,10.44
5,MONTGOMERY,ABINGTON JHS,27.44,38.17,24.23,10.16
6,ALLEGHENY,ABRAHAM LINCOLN EL SCH,24.63,42.7,26.64,6.01
7,ALLEGHENY,ACADEMY AT WESTINGHOUSE,0.0,6.61,25.92,67.43
8,CHESTER,ACHIEVEMENT HOUSE CS,2.19,17.02,31.33,49.43
9,ALLEGHENY,ACMETONIA PRIMARY SCH,31.75,36.45,18.25,13.55
10,PHILADELPHIA,AD PRIMA CS,8.09,32.29,33.55,26.11
11,PHILADELPHIA,ADAIRE ALEXANDER SCH,7.35,23.56,33.63,35.48
12,LANCASTER,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05
13,BUCKS,AFTON EL SCH,52.52,31.23,11.01,5.26
14,CHESTER,AGORA CYBER CS,3.42,15.36,28.74,52.4
15,LANCASTER,AKRON EL SCH,28.83,39.49,21.05,10.67
16,FAYETTE,ALBERT GALLATIN NORTH MS,11.0,31.65,31.32,26.07
17,FAYETTE,ALBERT GALLATIN SOUTH MS,8.39,26.63,38.15,26.87
18,BUCKS,ALBERT SCHWEITZER ES,27.36,40.75,21.3,10.64
19,LEHIGH,ALBURTIS EL SCH,23.11,41.7,26.49,8.73
20,DELAWARE,ALDAN SCH,5.72,25.87,28.15,40.3
21,BEAVER,ALIQUIPPA EL SCH,3.94,18.27,36.98,40.87
22,BEAVER,ALIQUIPPA JSHS,0.9,12.23,36.08,50.75
23,ALLEGHENY,ALLEGHENY TRAD ELEM ACAD,13.8,32.16,35.52,18.57
24,ALLEGHENY,ALLEGHENY TRAD MS ACAD,2.45,17.15,34.96,45.35
25,CLARION,ALLEGHENY-CLARION VA,11.87,34.33,30.09,23.75
26,CLARION,ALLEGHENY-CLARION VAL ELEM,13.27,34.49,33.6,18.64
27,PHILADELPHIA,ALLEN  ETHEL DR.,0.43,6.02,27.63,65.92
28,PHILADELPHIA,ALLEN ETHAN SCH,4.37,15.98,27.56,52.13
29,YORK,ALLEN MS,16.54,34.52,28.17,20.73
