,county,zipcode
0,Lawrence-County,16037
1,Lawrence-County,16051
2,Lawrence-County,16057
3,Lawrence-County,16101
4,Lawrence-County,16102
5,Lawrence-County,16105
6,Lawrence-County,16112
7,Lawrence-County,16116
8,Lawrence-County,16117
9,Lawrence-County,16120
10,Lawrence-County,16123
11,Lawrence-County,16127
12,Lawrence-County,16132
13,Lawrence-County,16140
14,Lawrence-County,16141
15,Lawrence-County,16142
16,Lawrence-County,16143
17,Lawrence-County,16155
18,Lawrence-County,16156
19,Lawrence-County,16157
20,Lawrence-County,16159
21,Lawrence-County,16160
22,Elk-County,15821
23,Elk-County,15823
24,Elk-County,15827
25,Elk-County,15832
26,Elk-County,15841
27,Elk-County,15845
28,Elk-County,15846
29,Elk-County,15853
30,Elk-County,15857
31,Elk-County,15860
32,Elk-County,15868
33,Elk-County,15870
34,Elk-County,16728
35,Elk-County,16734
36,Elk-County,16735
37,Somerset-County,15411
38,Somerset-County,15424
39,Somerset-County,15501
40,Somerset-County,15502
41,Somerset-County,15510
42,Somerset-County,15520
43,Somerset-County,15530
44,Somerset-County,15531
45,Somerset-County,15532
46,Somerset-County,15534
47,Somerset-County,15538
48,Somerset-County,15540
49,Somerset-County,15541
50,Somerset-County,15542
51,Somerset-County,15544
52,Somerset-County,15545
53,Somerset-County,15546
54,Somerset-County,15547
55,Somerset-County,15551
56,Somerset-County,15552
57,Somerset-County,15555
58,Somerset-County,15557
59,Somerset-County,15558
60,Somerset-County,15559
61,Somerset-County,15560
62,Somerset-County,15561
63,Somerset-County,15562
64,Somerset-County,15563
65,Somerset-County,15564
66,Somerset-County,15622
67,Somerset-County,15905
68,Somerset-County,15924
69,Somerset-County,15926
70,Somerset-County,15928
71,Somerset-County,15935
72,Somerset-County,15936
73,Somerset-County,15937
74,Somerset-County,15953
75,Somerset-County,15963
76,Washington-County,15004
77,Washington-County,15012
78,Washington-County,15017
79,Washington-County,15019
80,Washington-County,15021
81,Washington-County,15022
82,Washington-County,15025
83,Washington-County,15026
84,Washington-County,15033
85,Washington-County,15038
86,Washington-County,15053
87,Washington-County,15054
88,Washington-County,15055
89,Washington-County,15057
90,Washington-County,15060
91,Washington-County,15063
92,Washington-County,15067
93,Washington-County,15078
94,Washington-County,15126
95,Washington-County,15129
96,Washington-County,15241
97,Washington-County,15301
98,Washington-County,15311
99,Washington-County,15312
100,Washington-County,15313
101,Washington-County,15314
102,Washington-County,15317
103,Washington-County,15321
104,Washington-County,15322
105,Washington-County,15323
106,Washington-County,15324
107,Washington-County,15329
108,Washington-County,15330
109,Washington-County,15331
110,Washington-County,15332
111,Washington-County,15333
112,Washington-County,15340
113,Washington-County,15342
114,Washington-County,15345
115,Washington-County,15347
116,Washington-County,15348
117,Washington-County,15350
118,Washington-County,15358
119,Washington-County,15360
120,Washington-County,15361
121,Washington-County,15363
122,Washington-County,15366
123,Washington-County,15367
124,Washington-County,15368
125,Washington-County,15370
126,Washington-County,15376
127,Washington-County,15377
128,Washington-County,15378
129,Washington-County,15379
130,Washington-County,15412
131,Washington-County,15417
132,Washington-County,15419
133,Washington-County,15423
134,Washington-County,15427
135,Washington-County,15429
136,Washington-County,15432
137,Washington-County,15434
138,Washington-County,15477
139,Washington-County,15483
140,Union-County,17810
141,Union-County,17829
142,Union-County,17835
143,Union-County,17837
144,Union-County,17844
145,Union-County,17845
146,Union-County,17855
147,Union-County,17856
148,Union-County,17870
149,Union-County,17880
150,Union-County,17885
