,School Number,Cluster,County,School
853,3742,1,PHILADELPHIA,HOPKINSON FRANCIS SCH
2169,554,1,ALLEGHENY,WILKINSBURG MS
986,7538,1,LANCASTER,LA ACADEMIA CS
2084,3615,1,PHILADELPHIA,WASHINGTON MARTHA SCH
2095,6959,1,ERIE,WAYNE MS
2167,7907,1,DELAWARE,WIDENER PARTNERSHIP CS
961,7826,1,PHILADELPHIA,KHEPERA CS
806,7936,1,LUZERNE,HAZLETON ELEM/ MS
2198,3731,1,PHILADELPHIA,WISTER JOHN SCH
2202,8352,1,ALLEGHENY,WOODLAND HILLS INTERMEDIATE SCH
2203,107,1,ALLEGHENY,WOODLAND HILLS JSHS
858,3713,1,PHILADELPHIA,HOUSTON HENRY E SCH
928,8149,1,PHILADELPHIA,JOHN B STETSON CHARTER SCHOOL
946,3645,1,PHILADELPHIA,KEARNY GEN PHILIP SCH
862,3743,1,PHILADELPHIA,HOWE JULIA WARD SCH
948,3626,1,PHILADELPHIA,KELLEY WILLIAM D SCH
2208,7512,1,PHILADELPHIA,WORLD COMMUNICATIONS CS
863,3807,1,PHILADELPHIA,HUEY SAMUEL B SCH
2210,5188,1,PHILADELPHIA,WRIGHT RICHARD R SCH
901,8241,1,YORK,JACKSON SCH
865,3693,1,PHILADELPHIA,HUNTER WILLIAM EL
957,7506,1,MERCER,KEYSTONE ED CTR CS
870,7579,1,PHILADELPHIA,IMANI EDUCATION CIRCLE CS
2231,8289,1,PHILADELPHIA,YOUNG SCHOLARS KENDERTON CS
2105,3703,1,PHILADELPHIA,WELSH JOHN SCH
819,5187,1,PHILADELPHIA,HESTON EDWARD ELEMENTARY
810,8041,1,YORK,HELEN THACKSTON CHARTER SCHOOL
2102,7876,1,ALLEGHENY,WEIL TECHNOLOGY INSTITUTE
963,7880,1,ALLEGHENY,KING M L EL SCH
2233,8337,1,ALLEGHENY,YOUNG SCHOLARS OF MCKEESPORT CS
809,6923,1,LUZERNE,HEIGHTS-MURRAY EL SCH
2100,5124,1,PHILADELPHIA,WEBSTER JOHN H SCH
950,5294,1,PHILADELPHIA,KELLY JOHN B SCH
1642,7684,1,PHILADELPHIA,RICHARD ALLEN PREP CS
1957,8296,1,PHILADELPHIA,THEODORE ROOSEVELT MS
1010,852,1,BERKS,LAUERS PARK EL SCH
1493,8293,1,PHILADELPHIA,PENN TREATY MS
1772,1943,1,DELAWARE,SHARON HILL SCH
1485,3675,1,PHILADELPHIA,PEIRCE THOMAS M SCH
1477,3613,1,PHILADELPHIA,PATTERSON JOHN M SCH
1473,7020,1,DELAWARE,PARK LANE EL SCH
1785,3702,1,PHILADELPHIA,SHEPPARD ISAAC SCH
1787,3800,1,PHILADELPHIA,SHERIDAN PHILIP H SCH
1458,7821,1,ALLEGHENY,PA DISTANCE LEARNING CS
1442,3750,1,PHILADELPHIA,OLNEY EL SCH
1801,5028,1,BERKS,SIXTEENTH & HAAK EL
1422,7665,1,PHILADELPHIA,NUEVA ESPERANZA ACAD CS
1411,856,1,BERKS,NORTHWEST MS
1410,6894,1,LEBANON,NORTHWEST EL SCH
1839,7888,1,ALLEGHENY,SOUTH HILLS MIDDLE SCHL
1350,7829,1,PHILADELPHIA,NEW MEDIA TECHNOLOGY CS
1862,3654,1,PHILADELPHIA,SOUTHWARK SCH
1872,3655,1,PHILADELPHIA,SPRING GARDEN SCH
1341,7762,1,HUNTINGDON,NEW DAY CHARTER SCHOOL
1315,7522,1,PHILADELPHIA,MUNOZ-MARIN ELEM
1893,3635,1,PHILADELPHIA,STANTON EDWIN M SCH
1897,4963,1,PHILADELPHIA,STEARNE ALLEN M SCH
1898,3727,1,PHILADELPHIA,STEEL EDWARD SCH
1900,1799,1,DAUPHIN,STEELTON-HIGHSPIRE ELEM SCH
1497,7918,1,DELAWARE,PENN WOOD MS
1507,3722,1,PHILADELPHIA,PENNELL JOSEPH SCH
1517,6539,1,PHILADELPHIA,PENNYPACKER SAMUEL SCH
1518,3616,1,PHILADELPHIA,PENROSE ELEM SCH
1638,8292,1,PHILADELPHIA,RHODES E W ACADEMY
1637,3614,1,PHILADELPHIA,RHOADS JAMES SCH
1618,8117,1,BERKS,READING INTERMEDIATE HIGH SCHO
1670,8317,1,LEHIGH,ROBERTO CLEMENTE ELEMENTARY CS
1598,8193,1,ALLEGHENY,PROPEL CS - NORTHSIDE
1594,8306,1,ALLEGHENY,PROPEL CS - HAZELWOOD
1591,6765,1,PHILADELPHIA,PRINCE HALL
1586,8260,1,DAUPHIN,PREMIER ARTS AND SCIENCE CS
1699,7623,1,DAUPHIN,ROWLAND SCHOOL
1582,5121,1,PHILADELPHIA,POTTER-THOMAS SCH
800,5125,1,PHILADELPHIA,HARTRANFT JOHN F SCH
1901,1801,1,DAUPHIN,STEELTON-HIGHSPIRE HIGH SCH
1724,8083,1,PHILADELPHIA,SANKOFA FREEDOM ACADEMY CS
1553,8110,1,ALLEGHENY,PITTSBURGH MILLIONES 6-12
1552,8108,1,ALLEGHENY,PITTSBURGH MILLER PRE K-5
1551,8255,1,ALLEGHENY,PITTSBURGH LANGLEY K-8
1550,8204,1,ALLEGHENY,PITTSBURGH FAISON K-5
1733,379,1,ALLEGHENY,SCHILLER CLASSICAL A
1538,7922,1,LANCASTER,PHOENIX ACADEMY
1747,7667,1,DAUPHIN,SCOTT SCHOOL
1530,8252,1,PHILADELPHIA,PHILADELPHIA CS FOR ARTS AND S
1528,7035,1,ERIE,PFEIFFER-BURLEIGH EL
1526,7770,1,ERIE,PERSEUS HOUSE CS OF EXCELLENCE
1519,7685,1,PHILADELPHIA,PEOPLE FOR PEOPLE CS
1556,8300,1,ALLEGHENY,PITTSBURGH ONLINE ACADEMY
1912,7505,1,ALLEGHENY,STO ROX ELEM SCH
1287,6535,1,PHILADELPHIA,MORTON THOMAS G SCH
1913,7606,1,ALLEGHENY,STO-ROX MS
1150,8266,1,DAUPHIN,MARSHALL SCH
1148,3797,1,PHILADELPHIA,MARSHALL JOHN SCH
2007,5025,1,BERKS,TWELFTH & MARION EL
1134,7672,1,PHILADELPHIA,MARIANA BRACETTI ACAD CS
2013,831,1,BERKS,TYSON-SCHOENER EL SCH
2025,8287,1,PHILADELPHIA,UNIVERSAL ALCORN CHARTER SCHOOL
2026,8145,1,PHILADELPHIA,UNIVERSAL BLUFORD CHARTER SCHO
2028,8146,1,PHILADELPHIA,UNIVERSAL DAROFF CHARTER SCHOOL
1110,1958,1,DELAWARE,MAIN STREET SCH
2029,7580,1,PHILADELPHIA,UNIVERSAL INSTITUTE CS
2030,8196,1,PHILADELPHIA,UNIVERSAL VARE CS
1152,7521,1,PHILADELPHIA,MARSHALL THURGOOD
1094,3694,1,PHILADELPHIA,LUDLOW JAMES R SCH
1076,3718,1,PHILADELPHIA,LOGAN SCH
1071,4732,1,PHILADELPHIA,LOCKE ALAIN SCH
2042,7562,1,ALLEGHENY,URBAN PATHWAYS 6-12 CHARTER SCH
1061,3717,1,PHILADELPHIA,LINGELBACH ANNA L SCH
1052,7870,1,ALLEGHENY,LINCOLN EL TECH ACADEMY
2058,8338,1,DELAWARE,VISION ACADEMY CHARTER SCHOOL
2062,3835,1,PHILADELPHIA,WAGNER GEN LOUIS MS
1023,8295,1,PHILADELPHIA,LEEDS MORRIS E MS
1017,6530,1,PHILADELPHIA,LEA HENRY C SCH
2069,8018,1,DELAWARE,WALNUT STREET EL SCH
2075,7225,1,PHILADELPHIA,WARING LAURA SCH
1079,6533,1,PHILADELPHIA,LONGSTRETH WILLIAM C SCH
1002,3670,1,PHILADELPHIA,LAMBERTON ROBERT E SCH
1166,8259,1,PHILADELPHIA,MASTERY CS - CLEVELAND ELEMENT
1170,7678,1,PHILADELPHIA,MASTERY CS - LENFEST CAMPUS
1286,365,1,ALLEGHENY,MORROW EL SCH
1284,3749,1,PHILADELPHIA,MORRISON ANDREW J SCH
1283,4868,1,PHILADELPHIA,MORRIS ROBERT SCH
1915,1968,1,DELAWARE,STONEHURST HILLS EL
1266,7399,1,WESTMORELAND,MONESSEN MS
1261,3798,1,PHILADELPHIA,MITCHELL EL SCH
1930,3753,1,PHILADELPHIA,SULLIVAN JAMES J SCH
1949,3657,1,PHILADELPHIA,TAGGART JOHN H SCH
1953,3755,1,PHILADELPHIA,TAYLOR BAYARD SCH
1954,5026,1,BERKS,TENTH & GREEN EL SCH
1956,8298,1,PHILADELPHIA,THE SD OF PHILADELPHIA VIRTUAL
1168,8207,1,PHILADELPHIA,MASTERY CS - GRATZ CAMPUS
1214,8257,1,PHILADELPHIA,MEMPHIS STREET ACADEMY
1969,8297,1,PHILADELPHIA,TILDEN WILLIAM MS
1202,3611,1,PHILADELPHIA,MCMICHAEL MORTON SCH
1200,5293,1,PHILADELPHIA,MCKINLEY WILLIAM SCH
1198,2777,1,LEHIGH,MCKINLEY EL SCH
1974,8302,1,DELAWARE,TOBY FARMS INTERMEDIATE SCHOOL
1986,4929,1,LEHIGH,TREXLER MS
1192,3629,1,PHILADELPHIA,MCDANIEL DELAPLAINE SCH
1186,6534,1,PHILADELPHIA,MCCLURE ALEXANDER K SCH
1173,7909,1,PHILADELPHIA,MASTERY CS - SHOEMAKER CAMPUS
1172,7961,1,PHILADELPHIA,MASTERY CS - PICKETT CAMPUS
