,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
0,16914,0.000%,2.474%,4.818%,13.542%,9.505%,16.667%,42.969%,6.771%,2.474%,0.781%
1,16925,0.435%,0.696%,5.826%,7.826%,7.826%,20.609%,49.304%,6.609%,0.261%,0.609%
2,16926,0.599%,0.898%,3.593%,13.174%,9.880%,12.275%,50.898%,3.892%,4.192%,0.599%
3,16936,0.000%,0.447%,4.769%,8.346%,9.091%,19.672%,44.560%,8.346%,3.577%,1.192%
4,16947,0.049%,0.635%,6.106%,12.653%,9.966%,15.437%,41.768%,6.937%,3.029%,3.420%
5,17724,0.316%,0.126%,4.991%,9.033%,9.981%,13.708%,48.073%,9.918%,3.411%,0.442%
6,18623,0.200%,2.605%,6.713%,9.419%,14.228%,53.908%,11.323%,1.603%,0.000%,4.342723%
7,18810,0.324%,1.251%,3.242%,12.089%,8.893%,14.173%,52.617%,4.771%,1.853%,0.787%
8,18814,2.439%,14.634%,73.171%,11.538462%,35.746970%,-31.585332%,-68.834165%,29.863406%,"1,000.000000%","-1,000.000000%"
9,18817,4.348%,39.130%,13.043%,4.348%,26.087%,13.043%,20.408163%,22.172273%,21.005536%,109.563375%
10,18829,0.375%,4.869%,14.232%,13.109%,12.360%,48.689%,5.243%,0.749%,0.375%,8.300395%
11,18830,0.000%,0.769%,5.769%,5.385%,13.462%,23.077%,37.692%,11.538%,1.154%,1.154%
12,18831,0.000%,5.521%,8.589%,7.157%,14.110%,43.558%,10.429%,10.634%,6.823028%,-23.642330%
13,18832,0.511%,0.000%,4.600%,10.903%,9.370%,15.162%,51.448%,4.259%,2.044%,1.704%
14,18833,0.452%,0.302%,2.564%,8.899%,5.581%,17.949%,54.751%,8.296%,0.905%,0.302%
15,18837,1.563%,5.423%,9.007%,10.478%,17.647%,49.265%,5.331%,1.287%,8.449074%,-77.010594%
16,18840,0.307%,0.567%,5.455%,21.582%,10.106%,13.837%,41.322%,4.699%,1.913%,0.213%
17,18845,1.639%,0.000%,9.836%,3.279%,13.934%,58.197%,9.836%,3.279%,0.000%,5.426357%
18,18846,0.971%,7.120%,11.974%,7.120%,16.828%,54.045%,1.942%,10.267857%,-24.894095%,-39.119090%
19,18848,0.182%,0.880%,6.618%,14.086%,10.231%,13.358%,42.502%,10.231%,1.579%,0.334%
20,18850,3.272%,15.052%,10.602%,11.126%,51.832%,6.675%,0.785%,0.654%,11.194030%,-7.660492%
21,18851,0.746%,2.239%,6.716%,7.836%,18.657%,55.224%,5.597%,2.985%,0.000%,10.144928%
22,18853,0.336%,0.806%,7.388%,11.954%,8.462%,15.648%,48.959%,4.097%,1.343%,1.007%
23,18854,1.142%,6.164%,4.795%,4.110%,20.091%,44.977%,15.982%,2.740%,3.921569%,-100.000000%
