,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
0,16914,1.655%,0.000%,3.862%,8.000%,10.621%,12.414%,54.621%,4.690%,3.724%,0.414%
1,16925,0.512%,0.256%,5.456%,5.541%,8.696%,14.066%,50.725%,9.292%,5.200%,0.256%
2,16926,0.000%,1.767%,3.180%,6.360%,5.300%,16.961%,48.763%,12.721%,3.887%,1.060%
3,16936,1.161%,1.032%,3.484%,7.226%,4.258%,13.419%,56.129%,10.065%,2.194%,1.032%
4,16947,0.413%,0.708%,5.251%,8.909%,6.549%,17.168%,48.791%,7.965%,1.829%,2.419%
5,17724,0.179%,1.668%,1.429%,8.219%,5.122%,8.100%,62.299%,10.423%,2.085%,0.476%
6,18623,0.108%,3.688%,6.508%,5.748%,15.944%,50.217%,15.184%,1.735%,0.868%,8.737864%
7,18810,0.000%,2.042%,6.687%,9.954%,8.474%,15.467%,45.023%,8.729%,2.399%,1.225%
8,18814,3.704%,16.667%,55.556%,6.666667%,14.815%,11.538%,6.667%,33.333%,0.000%,27.273%
9,18817,5.357%,10.714%,0.000%,51.786%,32.143%,0.000%,44.827586%,13.333%,20.408%,44.828%
10,18829,0.727%,2.909%,8.364%,5.455%,14.182%,55.273%,7.636%,1.818%,3.636%,17.441860%
11,18830,1.894%,0.758%,2.652%,8.333%,6.818%,12.500%,52.652%,11.364%,3.030%,0.000%
12,18831,0.616%,2.259%,5.133%,4.723%,13.347%,59.754%,9.035%,5.133%,4.687500%,8.333%
13,18832,0.291%,0.437%,1.164%,6.841%,8.588%,10.917%,61.863%,4.949%,4.658%,0.291%
14,18833,0.525%,0.000%,1.181%,6.955%,6.824%,12.861%,61.549%,8.924%,0.919%,0.262%
15,18837,0.879%,1.074%,7.617%,6.934%,14.551%,54.785%,11.816%,2.344%,10.714286%,2.509%
16,18840,1.148%,2.688%,2.949%,16.388%,10.125%,13.074%,41.936%,9.134%,1.592%,0.966%
17,18845,0.000%,1.550%,8.527%,3.876%,13.178%,58.140%,6.977%,6.977%,0.775%,14.285714%
18,18846,0.000%,3.659%,7.622%,7.622%,15.244%,54.268%,11.585%,12.244898%,8.197%,10.268%
19,18848,1.506%,1.851%,3.734%,13.147%,8.190%,13.681%,44.807%,10.857%,1.820%,0.408%
20,18850,1.138%,11.380%,3.983%,17.354%,53.058%,10.953%,0.427%,1.707%,18.340611%,10.078%
21,18851,0.749%,5.993%,7.865%,14.607%,11.985%,49.064%,2.996%,5.243%,1.498%,11.235955%
22,18853,1.944%,0.000%,3.753%,8.579%,8.244%,13.539%,54.558%,7.038%,1.340%,1.005%
23,18854,0.000%,4.419%,4.186%,10.698%,11.163%,48.140%,17.442%,3.953%,5.732484%,0.000%
24,18414,1.893%,4.942%,8.623%,20.978%,7.308%,16.877%,33.807%,3.996%,1.157%,0.421%
25,18419,0.718%,1.568%,4.442%,16.003%,7.446%,15.676%,45.983%,6.532%,1.372%,0.261%
26,18446,0.319%,1.036%,4.223%,9.402%,6.375%,14.900%,49.960%,11.633%,0.558%,1.594%
27,18612,1.481%,2.935%,6.091%,14.839%,9.164%,18.148%,37.500%,7.489%,0.651%,1.703%
28,18614,0.591%,0.000%,1.870%,6.594%,9.252%,16.142%,54.823%,7.677%,3.051%,0.000%
29,18615,0.459%,0.766%,2.603%,11.792%,8.423%,16.080%,50.689%,5.819%,3.369%,15.428571%
30,18618,2.585%,0.369%,9.970%,14.254%,16.396%,15.066%,33.900%,5.908%,1.551%,0.000%
31,18623,0.108%,3.688%,6.508%,5.748%,15.944%,50.217%,15.184%,1.735%,0.868%,8.737864%
32,18625,6.630%,2.210%,8.287%,16.022%,13.260%,12.707%,38.122%,0.000%,2.762%,27.777778%
33,18629,0.000%,0.175%,3.509%,6.667%,7.018%,17.544%,57.544%,4.561%,2.281%,0.702%
34,18630,0.267%,0.267%,1.426%,8.824%,4.100%,12.210%,56.150%,12.389%,4.189%,0.178%
35,18636,0.000%,3.358%,5.970%,5.970%,11.940%,60.261%,11.381%,1.119%,0.000%,6.666667%
36,18657,0.605%,1.304%,4.751%,12.087%,8.477%,20.005%,45.575%,5.659%,1.141%,0.396%
37,18844,0.898%,0.449%,2.695%,10.778%,7.036%,19.311%,42.515%,11.527%,4.790%,0.000%
38,18405,0.000%,0.000%,4.666%,5.090%,10.498%,25.875%,44.433%,7.741%,0.954%,0.742%
39,18415,1.695%,7.415%,32.415%,6.568%,8.051%,33.475%,8.475%,1.907%,23.369565%,10.400%
40,18417,1.733%,1.485%,3.713%,6.931%,4.703%,19.059%,47.277%,13.861%,1.238%,3.603604%
41,18421,0.444%,1.498%,2.607%,12.257%,8.264%,16.528%,46.866%,7.044%,3.661%,0.832%
42,18424,0.944%,0.892%,6.768%,16.159%,8.132%,19.203%,38.248%,6.768%,1.574%,1.312%
43,18427,0.000000%,10.914%,16.865%,21.391%,50.000000%,0.000000%,13.020590%,12.301201%,10.459911%,34.780899%
44,18428,0.849%,1.721%,4.917%,13.053%,6.460%,23.201%,41.350%,6.616%,1.408%,0.425%
45,18431,0.183%,1.904%,7.094%,14.345%,7.094%,16.223%,45.905%,5.477%,1.382%,0.391%
46,18436,1.789%,1.502%,6.890%,13.295%,7.310%,19.965%,40.658%,6.272%,0.883%,1.436%
47,18437,0.000%,9.589%,4.110%,26.027%,9.589%,15.068%,32.877%,2.740%,0.000000%,12.821%
48,18438,2.268%,9.897%,10.103%,5.361%,23.918%,37.732%,7.010%,1.649%,2.062%,37.209302%
49,18439,1.587%,17.460%,3.175%,30.688%,40.212%,6.878%,0.000%,7.272727%,16.327%,8.609%
