,County,Higher Degree,H.S. Diploma,No H.S. Diploma
0,16914,27.327528%,63.228399%,9.444072%
1,16925,21.523892%,67.326733%,11.149376%
2,16926,22.852512%,64.343598%,12.803890%
3,16936,19.709544%,67.081604%,13.208852%
4,16947,25.975414%,61.170497%,12.854089%
5,17724,20.416922%,66.217045%,13.366033%
6,18623,17.552083%,67.187500%,15.260417%
7,18810,26.444876%,63.793103%,9.762020%
8,18814,21.052632%,78.947368%,0.000000%
9,18817,38.400000%,54.400000%,7.200000%
10,18829,24.907749%,65.313653%,9.778598%
11,18830,22.900763%,62.977099%,14.122137%
12,18831,17.008197%,65.368852%,17.622951%
13,18832,21.036107%,69.937206%,9.026688%
14,18833,16.561404%,73.614035%,9.824561%
15,18837,21.638258%,68.087121%,10.274621%
16,18840,35.775381%,55.088633%,9.135986%
17,18845,14.342629%,71.713147%,13.944223%
18,18846,22.919937%,70.172684%,6.907378%
19,18848,30.242247%,57.151674%,12.606079%
20,18850,22.972052%,66.530334%,10.497614%
21,18851,23.364486%,67.476636%,9.158879%
22,18853,25.729621%,66.353573%,7.916806%
23,18854,17.741935%,62.211982%,20.046083%
24,18414,43.733950%,51.900360%,4.365691%
25,18419,34.813614%,58.379254%,6.807131%
26,18446,26.739640%,62.666145%,10.594214%
27,18612,41.648690%,51.278891%,7.072419%
28,18614,20.835482%,69.881382%,9.283136%
29,18615,26.514032%,66.174298%,7.311669%
30,18618,42.362598%,48.037116%,9.600286%
31,18623,17.552083%,67.187500%,15.260417%
32,18625,48.158640%,47.025496%,4.815864%
33,18629,20.778073%,71.175950%,8.045977%
34,18630,16.696670%,71.827183%,11.476148%
35,18636,19.563153%,70.465337%,9.971510%
36,18657,28.662784%,63.469225%,7.867991%
37,18844,22.799423%,64.357864%,12.842713%
38,18405,27.896104%,62.649351%,9.454545%
39,18415,46.721311%,43.208431%,10.070258%
40,18417,24.805195%,65.714286%,9.480519%
41,18421,26.182965%,64.064143%,9.752892%
42,18424,33.671347%,58.658346%,7.670307%
43,18427,0.000000%,100.000000%,0.000000%
44,18428,30.620155%,61.295681%,8.084164%
45,18431,30.064668%,60.493827%,9.441505%
46,18436,30.702588%,61.119915%,8.177496%
47,18437,43.604651%,54.069767%,2.325581%
48,18438,38.713080%,53.270042%,8.016878%
49,18439,27.380952%,65.178571%,7.440476%
50,18443,16.712329%,81.095890%,2.191781%
51,18444,36.818049%,55.246523%,7.935427%
52,18445,30.740741%,60.158730%,9.100529%
53,18453,24.179830%,68.894289%,6.925881%
54,18454,0.000000%,0.000000%,100.000000%
55,18455,11.666667%,78.333333%,10.000000%
56,18456,15.654952%,71.565495%,12.779553%
57,18459,24.390244%,48.780488%,26.829268%
58,18460,34.586466%,51.127820%,14.285714%
59,18461,17.532468%,68.181818%,14.285714%
60,18462,32.475884%,51.768489%,15.755627%
61,18463,24.309392%,71.270718%,4.419890%
62,18465,30.259067%,57.409326%,12.331606%
63,18469,17.793594%,76.512456%,5.693950%
64,18470,34.496920%,57.357974%,8.145106%
65,18472,16.057181%,66.855053%,17.087766%
66,18473,36.388140%,56.873315%,6.738544%
67,18847,23.731307%,64.255945%,12.012748%
68,17005,26.171875%,62.109375%,11.718750%
69,17017,24.361158%,66.269165%,9.369676%
70,17018,34.029670%,60.339086%,5.631244%
71,17020,24.063615%,67.003567%,8.932818%
72,17022,37.632156%,53.475962%,8.891881%
73,17023,23.133716%,63.084495%,13.781788%
74,17028,28.866366%,59.234234%,11.899399%
75,17030,17.507886%,63.564669%,18.927445%
76,17032,26.078235%,62.637914%,11.283852%
77,17033,56.524957%,36.962421%,6.512622%
78,17034,24.335499%,62.728884%,12.935617%
79,17036,55.762034%,40.166473%,4.071493%
80,17048,15.884194%,61.032864%,23.082942%
81,17057,27.906514%,58.681362%,13.412124%
82,17061,22.728131%,57.698848%,19.573021%
83,17078,40.896267%,52.253789%,6.849944%
84,17080,20.571429%,60.571429%,18.857143%
85,17097,18.374558%,62.544170%,19.081272%
86,17098,16.228838%,71.745476%,12.025686%
87,17101,29.944444%,48.444444%,21.611111%
88,17102,39.229422%,48.406305%,12.364273%
89,17103,21.889305%,61.548065%,16.562630%
90,17104,19.416033%,54.506513%,26.077454%
91,17109,37.414073%,53.630796%,8.955131%
92,17110,42.405882%,47.029412%,10.564706%
93,17111,42.113619%,48.850082%,9.036300%
94,17112,47.312547%,46.809264%,5.878190%
95,17113,23.574034%,64.215901%,12.210066%
96,17120,Not applicable,Not applicable,Not applicable
97,17980,20.765027%,66.985428%,12.249545%
