,County,Doctorate,Professional,Masters,Bachelor,Associate,Some College,High School,Some HS,Less than HS,None
0,16914,0.803751%,1.272605%,4.353650%,10.850636%,10.046885%,14.601474%,48.626926%,5.760214%,3.081045%,0.602813%
1,16925,0.473526%,0.473526%,5.639260%,6.672406%,8.265174%,17.305209%,50.021524%,7.963840%,2.755058%,0.430478%
2,16926,0.324149%,1.296596%,3.403566%,10.048622%,7.779579%,14.424635%,49.918963%,7.941653%,4.051864%,0.810373%
3,16936,0.622407%,0.760719%,4.080221%,7.745505%,6.500692%,16.320885%,50.760719%,9.266943%,2.835408%,1.106501%
4,16947,0.213789%,0.668092%,5.718867%,10.956708%,8.417958%,16.221272%,44.949225%,7.402459%,2.485302%,2.966328%
5,17724,0.245248%,0.919681%,3.157572%,8.614347%,7.480074%,10.821582%,55.395463%,10.177805%,2.728387%,0.459841%
6,18623,0.156250%,0.000000%,3.125000%,6.614583%,7.656250%,15.052083%,52.135417%,13.177083%,1.666667%,0.416667%
7,18810,0.169985%,1.627003%,4.881010%,11.073337%,8.693541%,14.788732%,49.004371%,6.653715%,2.112676%,0.995629%
8,18814,0.000000%,0.000000%,0.000000%,17.894737%,3.157895%,15.789474%,63.157895%,0.000000%,0.000000%,0.000000%
9,18817,0.000000%,0.000000%,4.800000%,26.400000%,7.200000%,25.600000%,28.800000%,7.200000%,0.000000%,0.000000%
10,18829,0.000000%,0.553506%,3.874539%,11.254613%,9.225092%,13.284133%,52.029520%,6.457565%,1.291513%,2.029520%
11,18830,0.954198%,0.763359%,4.198473%,6.870229%,10.114504%,17.748092%,45.229008%,11.450382%,2.099237%,0.572519%
12,18831,0.000000%,0.307377%,3.893443%,6.864754%,5.942623%,13.729508%,51.639344%,9.733607%,7.889344%,0.000000%
13,18832,0.392465%,0.235479%,2.747253%,8.712716%,8.948195%,12.872841%,57.064364%,4.631083%,3.453689%,0.941915%
14,18833,0.491228%,0.140351%,1.824561%,7.859649%,6.245614%,15.228070%,58.385965%,8.631579%,0.912281%,0.280702%
15,18837,0.000000%,1.231061%,3.314394%,8.333333%,8.759470%,16.145833%,51.941288%,8.475379%,1.799242%,0.000000%
16,18840,0.706582%,1.574315%,4.264287%,19.114913%,10.115284%,13.474650%,41.613983%,6.805504%,1.760258%,0.570224%
17,18845,0.000000%,0.796813%,0.796813%,9.163347%,3.585657%,13.545817%,58.167331%,8.366534%,5.179283%,0.398406%
18,18846,0.000000%,0.470958%,5.337520%,9.733124%,7.378336%,16.012559%,54.160126%,6.907378%,0.000000%,0.000000%
19,18848,0.833205%,1.357815%,5.199815%,13.624441%,9.226971%,13.516433%,43.635241%,10.538497%,1.697269%,0.370313%
20,18850,0.000000%,0.000000%,2.249489%,13.292434%,7.430130%,14.110429%,52.419905%,8.725290%,0.613497%,1.158828%
21,18851,0.000000%,0.747664%,4.112150%,7.289720%,11.214953%,15.327103%,52.149533%,4.299065%,4.112150%,0.747664%
22,18853,1.140557%,0.402549%,5.568601%,10.265012%,8.352902%,14.592419%,51.761154%,5.568601%,1.341832%,1.006374%
23,18854,0.576037%,0.000000%,5.299539%,4.493088%,7.373272%,15.668203%,46.543779%,16.705069%,3.341014%,0.000000%
24,18414,1.258346%,3.261428%,10.323575%,20.467386%,8.423215%,15.819209%,36.081150%,3.184386%,0.924499%,0.256805%
25,18419,0.777958%,0.972447%,7.228525%,17.244733%,8.589951%,16.077796%,42.301459%,5.802269%,0.875203%,0.129660%
26,18446,0.156372%,1.876466%,4.847537%,10.711493%,9.147772%,14.894449%,47.771697%,9.069586%,0.625489%,0.899140%
27,18612,1.278891%,2.426810%,8.636364%,18.543914%,10.762712%,18.274268%,33.004622%,5.546995%,0.531587%,0.993837%
28,18614,0.928314%,0.103146%,2.372357%,9.025271%,8.406395%,18.411552%,51.469830%,6.962352%,2.166065%,0.154719%
29,18615,0.221566%,0.369276%,5.834564%,11.816839%,8.271787%,16.174298%,50.000000%,4.800591%,2.511078%,0.000000%
30,18618,1.249108%,1.570307%,8.708066%,16.452534%,14.382584%,14.632405%,33.404711%,7.316203%,1.962884%,0.321199%
31,18623,0.156250%,0.000000%,3.125000%,6.614583%,7.656250%,15.052083%,52.135417%,13.177083%,1.666667%,0.416667%
32,18625,3.399433%,2.266289%,10.198300%,20.113314%,12.181303%,14.164306%,32.861190%,3.399433%,1.416431%,0.000000%
33,18629,0.088417%,0.353669%,2.564103%,8.576481%,9.195402%,18.390805%,52.785146%,4.951370%,2.564103%,0.530504%
34,18630,0.540054%,0.405041%,2.340234%,8.595860%,4.815482%,15.571557%,56.255626%,9.135914%,2.115212%,0.225023%
35,18636,0.000000%,0.189934%,4.368471%,9.591643%,5.413105%,14.719848%,55.745489%,8.357075%,1.329535%,0.284900%
36,18657,0.673747%,0.856458%,6.394884%,11.990408%,8.747288%,17.688706%,45.780518%,5.995204%,1.541624%,0.331164%
