,County,Higher Degree,H.S. Diploma,No H.S. Diploma
0,16822,21.384510%,63.879369%,14.736121%
1,16841,22.767965%,63.876119%,13.355916%
2,16848,16.785714%,78.214286%,5.000000%
3,16871,11.538462%,57.692308%,30.769231%
4,16872,17.997465%,57.541191%,24.461343%
5,17721,24.434389%,67.330317%,8.235294%
6,17729,10.416667%,85.416667%,4.166667%
7,17740,28.278593%,60.179362%,11.542045%
8,17745,28.963334%,59.210411%,11.826255%
9,17747,26.522911%,52.506739%,20.970350%
10,17748,17.889908%,64.678899%,17.431193%
11,17750,27.868852%,72.131148%,0.000000%
12,17751,28.913738%,59.325080%,11.761182%
13,17760,22.131148%,68.032787%,9.836066%
14,17764,17.095588%,67.095588%,15.808824%
15,17767,0.000000%,90.076336%,9.923664%
16,17778,11.842105%,68.421053%,19.736842%
17,17779,100.000000%,0.000000%,0.000000%
18,18036,47.539901%,45.514584%,6.945515%
19,18041,37.413148%,56.360235%,6.226617%
20,18054,34.454605%,60.254735%,5.290660%
21,18055,36.827743%,55.179079%,7.993178%
22,18073,40.150932%,52.333282%,7.515786%
23,18077,48.870392%,47.919144%,3.210464%
24,18081,11.602210%,61.325967%,27.071823%
25,18901,57.320732%,38.383838%,4.295430%
26,18902,68.070301%,29.490674%,2.439024%
27,18912,54.736842%,45.263158%,0.000000%
28,18913,27.710843%,72.289157%,0.000000%
29,18914,58.438745%,37.598714%,3.962541%
30,18917,37.252221%,49.213944%,13.533835%
31,18920,48.076923%,51.923077%,0.000000%
32,18923,56.852792%,34.856176%,8.291032%
33,18925,61.852093%,34.591195%,3.556712%
34,18929,59.509820%,38.173577%,2.316602%
35,18930,40.231548%,49.927641%,9.840810%
36,18932,49.189189%,36.486486%,14.324324%
37,18935,Not applicable,Not applicable,Not applicable
38,18938,63.961791%,33.626013%,2.412196%
39,18940,69.302738%,28.461690%,2.235572%
40,18942,37.919463%,56.753356%,5.327181%
41,18944,46.224496%,47.997442%,5.778062%
42,18947,52.844788%,42.944925%,4.210287%
43,18950,57.792208%,42.207792%,0.000000%
44,18951,35.550374%,53.843007%,10.606618%
45,18954,57.785055%,38.597797%,3.617148%
46,18955,41.606368%,53.183792%,5.209841%
47,18960,37.289228%,56.137901%,6.572871%
48,18962,38.578680%,59.390863%,2.030457%
49,18964,39.821540%,50.498029%,9.680432%
50,18966,52.092050%,43.611775%,4.296175%
51,18969,36.944856%,53.728719%,9.326425%
52,18970,32.685512%,59.893993%,7.420495%
53,18972,39.589136%,51.636490%,8.774373%
54,18974,40.975176%,50.403851%,8.620974%
55,18976,50.587561%,43.114073%,6.298366%
56,18977,74.176373%,25.823627%,0.000000%
57,18980,58.250000%,40.250000%,1.500000%
58,19006,58.242463%,35.914047%,5.843489%
59,19007,18.912861%,67.441860%,13.645279%
60,19020,37.456362%,54.391866%,8.151772%
61,19021,16.739895%,69.376098%,13.884007%
62,19030,28.981299%,63.863399%,7.155303%
63,19040,42.017156%,52.172108%,5.810736%
64,19047,50.666132%,43.631621%,5.702247%
65,19053,40.917892%,51.127741%,7.954367%
66,19054,26.483899%,66.475196%,7.040905%
67,19055,22.627110%,68.279050%,9.093841%
68,19056,37.211493%,56.043335%,6.745172%
69,19057,23.423777%,67.707026%,8.869197%
70,19067,62.851037%,33.206389%,3.942574%
71,19440,47.085610%,44.064967%,8.849423%
72,17005,26.171875%,62.109375%,11.718750%
73,17017,24.361158%,66.269165%,9.369676%
74,17018,34.029670%,60.339086%,5.631244%
75,17020,24.063615%,67.003567%,8.932818%
76,17022,37.632156%,53.475962%,8.891881%
77,17023,23.133716%,63.084495%,13.781788%
78,17028,28.866366%,59.234234%,11.899399%
79,17030,17.507886%,63.564669%,18.927445%
80,17032,26.078235%,62.637914%,11.283852%
81,17033,56.524957%,36.962421%,6.512622%
82,17034,24.335499%,62.728884%,12.935617%
83,17036,55.762034%,40.166473%,4.071493%
84,17048,15.884194%,61.032864%,23.082942%
85,17057,27.906514%,58.681362%,13.412124%
86,17061,22.728131%,57.698848%,19.573021%
87,17078,40.896267%,52.253789%,6.849944%
88,17080,20.571429%,60.571429%,18.857143%
89,17097,18.374558%,62.544170%,19.081272%
90,17098,16.228838%,71.745476%,12.025686%
91,17101,29.944444%,48.444444%,21.611111%
92,17102,39.229422%,48.406305%,12.364273%
93,17103,21.889305%,61.548065%,16.562630%
94,17104,19.416033%,54.506513%,26.077454%
95,17109,37.414073%,53.630796%,8.955131%
96,17110,42.405882%,47.029412%,10.564706%
97,17111,42.113619%,48.850082%,9.036300%
98,17112,47.312547%,46.809264%,5.878190%
99,17113,23.574034%,64.215901%,12.210066%
100,17120,Not applicable,Not applicable,Not applicable
101,17980,20.765027%,66.985428%,12.249545%
102,15310,16.431925%,63.380282%,20.187793%
103,15315,19.813084%,65.607477%,14.579439%
104,15316,16.883117%,74.025974%,9.090909%
105,15320,34.493856%,53.978935%,11.527209%
106,15322,31.621622%,55.878378%,12.500000%
107,15325,8.783784%,59.459459%,31.756757%
108,15327,12.652705%,63.961606%,23.385689%
109,15329,24.487805%,65.268293%,10.243902%
