,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
0,16914,30.339%,24.138%,59.635%,67.034%,10.026%,8.828%
1,16925,22.609%,20.460%,69.913%,64.791%,7.478%,14.749%
2,16926,28.144%,16.608%,63.174%,65.724%,8.683%,17.668%
3,16936,22.653%,17.161%,64.232%,69.548%,13.115%,13.290%
4,16947,29.409%,21.829%,57.206%,65.959%,13.385%,12.212%
5,17724,24.447%,16.617%,61.781%,70.399%,13.771%,12.984%
6,18623,18.938%,16.052%,68.136%,66.161%,12.926%,17.787%
7,18810,25.799%,27.157%,66.790%,60.490%,7.411%,12.353%
8,18814,12.195%,27.778%,87.805%,72.222%,9.756%,24.074%
9,18817,56.522%,16.071%,30.435%,83.929%,13.043%,0.000%
10,18829,32.584%,17.455%,61.049%,69.455%,6.367%,13.091%
11,18830,25.385%,20.455%,60.769%,65.152%,13.846%,14.394%
12,18831,21.268%,12.731%,57.669%,73.101%,21.063%,14.168%
13,18832,25.383%,17.322%,66.610%,72.780%,8.007%,9.898%
14,18833,17.798%,15.486%,72.700%,74.409%,9.502%,10.105%
15,18837,26.471%,16.504%,66.912%,69.336%,6.618%,14.160%
16,18840,38.017%,33.299%,55.159%,55.010%,6.824%,11.691%
17,18845,14.754%,13.953%,72.131%,71.318%,13.115%,14.729%
18,18846,27.184%,18.902%,70.874%,69.512%,1.942%,11.585%
19,18848,31.998%,28.428%,55.859%,58.488%,12.143%,13.084%
20,18850,28.927%,16.501%,62.958%,70.413%,8.115%,13.087%
21,18851,17.537%,29.213%,73.881%,61.049%,8.582%,9.738%
22,18853,28.946%,22.520%,64.607%,68.097%,6.447%,9.383%
23,18854,16.210%,19.302%,65.068%,59.302%,18.721%,21.395%
24,18414,43.725%,43.743%,53.062%,50.683%,3.213%,5.573%
25,18419,39.382%,30.176%,55.148%,61.659%,5.470%,8.165%
26,18446,31.926%,21.355%,60.553%,64.861%,7.521%,13.785%
27,18612,50.608%,34.510%,45.796%,55.648%,3.596%,9.842%
28,18614,23.619%,18.307%,68.689%,70.965%,7.692%,10.728%
29,18615,28.816%,24.043%,65.621%,66.769%,5.563%,9.188%
30,18618,41.229%,43.575%,47.169%,48.966%,11.602%,7.459%
31,18623,18.938%,16.052%,68.136%,66.161%,12.926%,17.787%
32,18625,50.000%,46.409%,43.023%,50.829%,6.977%,2.762%
