RecordNumber,Zipcode,City,State,Lat,Long
1,704,PARC PARQUE,PR,17.96,-66.22
2,704,PASEO COSTA DEL SUR,PR,17.96,-66.22
3,704,SECT LANAUSSE,PR,17.96,-66.22
4,704,URB EUGENE RICE,PR,17.96,-66.22
5,704,URB GONZALEZ,PR,17.96,-66.22
6,704,URB LA FABRICA,PR,17.96,-66.22
7,704,URB MONTE SORIA 2,PR,17.96,-66.22
8,704,VILLAS DEL COQUI,PR,17.96,-66.22
9,705,AIBONITO,PR,18.14,-66.26
10,705,BDA SAN LUIS,PR,18.14,-66.26
11,705,BO LLANOS,PR,18.14,-66.26
12,705,BRISAS DE AIBONITO,PR,18.14,-66.26
13,705,COLINAS DE SAN FRANCISCO,PR,18.14,-66.26
14,705,EST DEL LLANO,PR,18.14,-66.26
15,705,EXT BELLA VISTA,PR,18.14,-66.26
16,705,EXT SAN LUIS,PR,18.14,-66.26
17,705,EXT VILLA ROSALES,PR,18.14,-66.26
18,705,REPTO ROBLES,PR,18.14,-66.26
19,705,URB BELLA VISTA,PR,18.14,-66.26
20,705,URB BUENA VISTA,PR,18.14,-66.26
21,705,URB GOLDEN VLG IV,PR,18.14,-66.26
22,705,URB LA PROVIDENCIA,PR,18.14,-66.26
23,705,VILLA DE LA ROSA,PR,18.14,-66.26
24,705,VILLA ROSALES,PR,18.14,-66.26
25,705,VILLAS DEL COQUI,PR,18.14,-66.26
26,610,ANASCO,PR,18.28,-67.14
27,610,BRISAS DE ANASCO,PR,18.28,-67.14
28,610,EST DE VALLE VERDE,PR,18.28,-67.14
29,610,JARD DE ANASCO,PR,18.28,-67.14
30,610,PASEO DEL VALLE,PR,18.28,-67.14
31,610,REPTO DAGUEY,PR,18.28,-67.14
32,610,URB SAN ANTONIO,PR,18.28,-67.14
33,611,ANGELES,PR,18.28,-66.79
34,612,ARECIBO,PR,18.45,-66.73
35,612,ALT DE JUNCOS,PR,18.45,-66.73
36,612,ALT DE SAN FELIPE,PR,18.45,-66.73
37,612,BDA DUHAMEL,PR,18.45,-66.73
38,612,BO EL PASAJE,PR,18.45,-66.73
39,612,BO ISLOTE,PR,18.45,-66.73
40,612,BO ISLOTE II,PR,18.45,-66.73
41,612,BO JAREALITOS,PR,18.45,-66.73
42,612,BO OBRERO,PR,18.45,-66.73
43,612,BO SANTANA,PR,18.45,-66.73
44,612,COMUNIDAD BUENOS AIRES,PR,18.45,-66.73
45,612,EST DE ARECIBO,PR,18.45,-66.73
46,612,EST DE BALSEIRO,PR,18.45,-66.73
47,612,EXT MARISOL,PR,18.45,-66.73
48,612,EXT TANAMA,PR,18.45,-66.73
49,612,EXT VILLA LOS SANTOS I,PR,18.45,-66.73
50,612,EXT VILLA LOS SANTOS II,PR,18.45,-66.73
51,612,HACIENDA TOLEDO,PR,18.45,-66.73
52,612,JARD DE ARECIBO,PR,18.45,-66.73
53,612,JARD DE SAN RAFAEL,PR,18.45,-66.73
54,612,PARC MATTEY,PR,18.45,-66.73
55,612,PARC NAVAS,PR,18.45,-66.73
56,612,PARC PEREZ,PR,18.45,-66.73
57,601,ADJUNTAS,PR,18.16,-66.72
58,601,COLINAS DEL GIGANTE,PR,18.16,-66.72
59,601,JARD DE ADJUNTAS,PR,18.16,-66.72
60,601,URB SAN JOAQUIN,PR,18.16,-66.72
61,631,CASTANER,PR,18.19,-66.82
62,631,ADJUNTAS,PR,18.19,-66.82
63,602,AGUADA,PR,18.38,-67.18
64,602,ALTS DE AGUADA,PR,18.38,-67.18
65,602,BO GUANIQUILLA,PR,18.38,-67.18
66,602,COMUNIDAD LAS FLORES,PR,18.38,-67.18
67,602,EXT LOS ROBLES,PR,18.38,-67.18
68,602,URB ISABEL LA CATOLICA,PR,18.38,-67.18
69,603,AGUADILLA,PR,18.43,-67.15
70,603,RAMEY,PR,18.43,-67.15
71,603,BDA CABAN,PR,18.43,-67.15
72,603,BDA ESTEVES,PR,18.43,-67.15
73,603,BO BORINQUEN,PR,18.43,-67.15
74,603,BO CEIBA BAJA,PR,18.43,-67.15
75,603,EXT EL PRADO,PR,18.43,-67.15
76,603,EXT MARBELLA,PR,18.43,-67.15
77,603,REPTO JIMENEZ,PR,18.43,-67.15
78,603,REPTO JUAN AGUIAR,PR,18.43,-67.15
79,603,REPTO LOPEZ,PR,18.43,-67.15
80,603,REPTO TRES PALMAS,PR,18.43,-67.15
81,603,SECT LAS VILLAS,PR,18.43,-67.15
82,603,URB BORINQUEN,PR,18.43,-67.15
83,603,URB EL PRADO,PR,18.43,-67.15
84,603,URB ESTEVES,PR,18.43,-67.15
85,603,URB GARCIA,PR,18.43,-67.15
86,603,URB LAS AMERICAS,PR,18.43,-67.15
87,603,URB LAS CASITAS COUNTRY CLUB,PR,18.43,-67.15
